population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year_start,year_end,val,upper,lower
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,417,Liver cancer,98,Tobacco,2,Percent,1990,2023,-0.017858854885539243,0.40361675253852614,-0.3374768035989726
1,All Population,1,Deaths,47,Czechia,3,Both,27,Age-standardized,450,Other pharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.13179065723945882,-0.005515225500795076,-0.2526458254056305
1,All Population,1,Deaths,22,Fiji,3,Both,27,Age-standardized,447,Nasopharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.3165240218630574,0.009571693932631591,-0.5313342959022498
1,All Population,1,Deaths,22,Fiji,3,Both,27,Age-standardized,487,Leukemia,98,Tobacco,2,Percent,1990,2023,-0.4698821320400028,-0.1806535437743629,-0.6694717269254706
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,429,Breast cancer,98,Tobacco,2,Percent,1990,2023,0.06500111103588144,0.26790452014016725,-0.1112318019647526
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,471,Kidney cancer,98,Tobacco,2,Percent,1990,2023,-0.0781927502016788,0.4248803962943866,-0.4004390012169262
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,447,Nasopharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.1314357214554696,0.20146595035317283,-0.3682137112992434
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,487,Leukemia,98,Tobacco,2,Percent,1990,2023,-0.25182094515936226,0.21462154606904296,-0.5251297933119685
1,All Population,1,Deaths,43,Albania,3,Both,27,Age-standardized,438,Prostate cancer,98,Tobacco,2,Percent,1990,2023,-0.31380348435497735,0.00908644145483392,-0.5455830716101678
1,All Population,1,Deaths,43,Albania,3,Both,27,Age-standardized,441,Colon and rectum cancer,98,Tobacco,2,Percent,1990,2023,-0.014044506452144808,0.5216838280723863,-0.41768112288596904
1,All Population,1,Deaths,39,Tajikistan,3,Both,27,Age-standardized,411,Esophageal cancer,98,Tobacco,2,Percent,1990,2023,-0.29966153475421126,0.0859642858587003,-0.5732976437409095
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,444,Lip and oral cavity cancer,98,Tobacco,2,Percent,1990,2023,-0.005267215890235729,0.5555504478840656,-0.37396994941721773
1,All Population,1,Deaths,39,Tajikistan,3,Both,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",98,Tobacco,2,Percent,1990,2023,-0.3492490190030585,-0.1389493729225663,-0.5053865812298624
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,417,Liver cancer,98,Tobacco,2,Percent,1990,2023,-0.0034117027995482843,0.20512392896229212,-0.18793597880720472
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,447,Nasopharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.09302326722533487,0.39574335389460946,-0.4027556140093701
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,487,Leukemia,98,Tobacco,2,Percent,1990,2023,-0.14276651630698425,0.635498435368752,-0.5189620323540021
1,All Population,1,Deaths,39,Tajikistan,3,Both,27,Age-standardized,456,Pancreatic cancer,98,Tobacco,2,Percent,1990,2023,-0.4869210284398402,-0.0712195364011173,-0.7325264601029563
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,429,Breast cancer,98,Tobacco,2,Percent,1990,2023,-0.15095250180640107,-0.042313074643321055,-0.25129731819177625
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,432,Cervical cancer,98,Tobacco,2,Percent,1990,2023,-0.33496863532040455,0.16988124402352875,-0.5852814435229713
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,432,Cervical cancer,98,Tobacco,2,Percent,1990,2023,0.07191586688846142,1.193578579846395,-0.5059667003817654
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,438,Prostate cancer,98,Tobacco,2,Percent,1990,2023,-0.028451647215804995,0.43409598582525155,-0.37156604487636524
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,411,Esophageal cancer,98,Tobacco,2,Percent,1990,2023,-0.14666217990422653,0.3531404513607378,-0.452671462321356
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,414,Stomach cancer,98,Tobacco,2,Percent,1990,2023,-0.1830420752341002,0.44087387546990064,-0.5308238474393058
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",98,Tobacco,2,Percent,1990,2023,-0.1018741569478756,0.16988875399624917,-0.2969640017915367
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,429,Breast cancer,98,Tobacco,2,Percent,1990,2023,0.03794077478222373,0.24050151211480597,-0.13803389162111473
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,471,Kidney cancer,98,Tobacco,2,Percent,1990,2023,-0.2161948750172976,0.302088883286983,-0.5244411497179858
1,All Population,1,Deaths,14,Maldives,3,Both,27,Age-standardized,411,Esophageal cancer,98,Tobacco,2,Percent,1990,2023,0.11750288772927046,0.6470842146591379,-0.1939845118161799
1,All Population,1,Deaths,14,Maldives,3,Both,27,Age-standardized,414,Stomach cancer,98,Tobacco,2,Percent,1990,2023,0.04110641303349411,0.7279677373202876,-0.3595857511470105
